service_id,date,exception_type
16B#2 SHOW SCH,20200928,1
16B#2 SHOW SCH,20200929,1
16B#2 SHOW SCH,20201001,1
16B#2 SHOW SCH,20201002,1
16B#2 SHOW SCH,20201005,1
16B#2 SHOW SCH,20201006,1
16B#2 SHOW SCH,20201008,1
16B#2 SHOW SCH,20201009,1
16B#2 SHOW SCH,20201012,1
16B#2 SHOW SCH,20201013,1
16B#2 SHOW SCH,20201015,1
16B#2 SHOW SCH,20201016,1
16B#2 SHOW SCH,20201019,1
16B#2 SHOW SCH,20201020,1
16B#2 SHOW SCH,20201022,1
16B#2 SHOW SCH,20201023,1
16B#2 SHOW SCH,20201026,1
16B#2 SHOW SCH,20201027,1
16B#2 SHOW SCH,20201029,1
16B#2 SHOW SCH,20201030,1
16B#2 SHOW SCH,20201102,1
16B#2 SHOW SCH,20201103,1
16B#2 SHOW SCH,20201105,1
16B#2 SHOW SCH,20201106,1
16B#2 SHOW SCH,20201109,1
16B#2 SHOW SCH,20201110,1
16B#2 SHOW SCH,20201112,1
16B#2 SHOW SCH,20201113,1
16B#2 SHOW SCH,20201116,1
16B#2 SHOW SCH,20201117,1
16B#2 SHOW SCH,20201119,1
16B#2 SHOW SCH,20201120,1
16B#2 SHOW SCH,20201123,1
16B#2 SHOW SCH,20201124,1
16B#2 SHOW SCH,20201130,1
16B#2 SHOW SCH,20201201,1
16B#2 SHOW SCH,20201203,1
16B#2 SHOW SCH,20201204,1
16B#2 SHOW SCH,20201207,1
16B#2 SHOW SCH,20201208,1
16B#2 SHOW SCH,20201210,1
16B#2 SHOW SCH,20201211,1
16B#2 SHOW SCH,20201214,1
16B#2 SHOW SCH,20201215,1
16B#2 SHOW SCH,20201217,1
16B#2 SHOW SCH,20201218,1
GR3 NON UI SU,20201122,1
GR3 NON UI SU,20201129,1
GR3 NON UI SU,20201206,1
GR3 NON UI SU,20201213,1
I2 UIMF,20201116,1
I2 UIMF,20201117,1
I2 UIMF,20201118,1
I2 UIMF,20201119,1
I2 UIMF,20201120,1
I5 UIMF,20201116,1
I5 UIMF,20201117,1
I5 UIMF,20201118,1
I5 UIMF,20201119,1
I5 UIMF,20201120,1
I3UISU,20201115,1
9A/5E SHOW SCH,20200824,1
9A/5E SHOW SCH,20200825,1
9A/5E SHOW SCH,20200827,1
9A/5E SHOW SCH,20200828,1
9A/5E SHOW SCH,20200831,1
9A/5E SHOW SCH,20200901,1
9A/5E SHOW SCH,20200903,1
9A/5E SHOW SCH,20200904,1
9A/5E SHOW SCH,20200908,1
9A/5E SHOW SCH,20200910,1
9A/5E SHOW SCH,20200911,1
9A/5E SHOW SCH,20200914,1
9A/5E SHOW SCH,20200915,1
9A/5E SHOW SCH,20200917,1
9A/5E SHOW SCH,20200918,1
9A/5E SHOW SCH,20200921,1
9A/5E SHOW SCH,20200922,1
9A/5E SHOW SCH,20200924,1
9A/5E SHOW SCH,20200925,1
9A/5E SHOW SCH,20200928,1
9A/5E SHOW SCH,20200929,1
9A/5E SHOW SCH,20201001,1
9A/5E SHOW SCH,20201002,1
9A/5E SHOW SCH,20201005,1
9A/5E SHOW SCH,20201006,1
9A/5E SHOW SCH,20201008,1
9A/5E SHOW SCH,20201009,1
9A/5E SHOW SCH,20201012,1
9A/5E SHOW SCH,20201013,1
9A/5E SHOW SCH,20201015,1
9A/5E SHOW SCH,20201016,1
9A/5E SHOW SCH,20201019,1
9A/5E SHOW SCH,20201020,1
9A/5E SHOW SCH,20201022,1
9A/5E SHOW SCH,20201023,1
9A/5E SHOW SCH,20201026,1
9A/5E SHOW SCH,20201027,1
9A/5E SHOW SCH,20201029,1
9A/5E SHOW SCH,20201030,1
9A/5E SHOW SCH,20201102,1
9A/5E SHOW SCH,20201103,1
9A/5E SHOW SCH,20201105,1
9A/5E SHOW SCH,20201106,1
9A/5E SHOW SCH,20201109,1
9A/5E SHOW SCH,20201110,1
9A/5E SHOW SCH,20201112,1
9A/5E SHOW SCH,20201113,1
9A/5E SHOW SCH,20201116,1
9A/5E SHOW SCH,20201117,1
9A/5E SHOW SCH,20201119,1
9A/5E SHOW SCH,20201120,1
9A/5E SHOW SCH,20201123,1
9A/5E SHOW SCH,20201124,1
9A/5E SHOW SCH,20201130,1
9A/5E SHOW SCH,20201201,1
9A/5E SHOW SCH,20201203,1
9A/5E SHOW SCH,20201204,1
9A/5E SHOW SCH,20201207,1
9A/5E SHOW SCH,20201208,1
9A/5E SHOW SCH,20201210,1
9A/5E SHOW SCH,20201211,1
9A/5E SHOW SCH,20201214,1
9A/5E SHOW SCH,20201215,1
9A/5E SHOW SCH,20201217,1
9A/5E SHOW SCH,20201218,1
BZ2 MF,20200817,1
BZ2 MF,20200818,1
BZ2 MF,20200819,1
BZ2 MF,20200820,1
BZ2 MF,20200821,1
BZ2 MF,20200824,1
BZ2 MF,20200825,1
BZ2 MF,20200826,1
BZ2 MF,20200827,1
BZ2 MF,20200828,1
BZ2 MF,20200831,1
BZ2 MF,20200901,1
BZ2 MF,20200902,1
BZ2 MF,20200903,1
BZ2 MF,20200904,1
BZ2 MF,20200908,1
BZ2 MF,20200909,1
BZ2 MF,20200910,1
BZ2 MF,20200911,1
BZ2 MF,20200914,1
BZ2 MF,20200915,1
BZ2 MF,20200916,1
BZ2 MF,20200917,1
BZ2 MF,20200918,1
BZ2 MF,20200921,1
BZ2 MF,20200922,1
BZ2 MF,20200923,1
BZ2 MF,20200924,1
